2023-12-02 00:53:47.370 [main] INFO  cn.evanzuo.admin.business.order.BusinessOrderApp - The following profiles are active: dev
2023-12-02 00:53:47.751 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=225f43da-dd90-313a-b2a9-6b4e64e68d2e
2023-12-02 00:53:47.799 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cn.evanzuo.admin.common.feign.client.clients.EvanFeignPayInfo' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-02 00:53:47.800 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cn.evanzuo.admin.common.feign.client.clients.EvanFeignUserInfo' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-12-02 00:53:47.933 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9501 (http)
2023-12-02 00:53:47.938 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9501"]
2023-12-02 00:53:47.939 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-02 00:53:47.939 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2023-12-02 00:53:47.989 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-02 00:53:47.989 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 610 ms
2023-12-02 00:53:48.360 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-12-02 00:53:48.363 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-12-02 00:53:48.382 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2023-12-02 00:53:48.511 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 18 endpoint(s) beneath base path '/actuator'
2023-12-02 00:53:48.538 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9501"]
2023-12-02 00:53:48.545 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9501 (http) with context path ''
2023-12-02 00:53:48.592 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP evan-admin-order 192.168.31.228:9501 register finished
2023-12-02 00:53:48.602 [main] INFO  cn.evanzuo.admin.business.order.BusinessOrderApp - Started BusinessOrderApp in 1.58 seconds (JVM running for 1.904)
2023-12-02 00:53:49.005 [RMI TCP Connection(1)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-02 00:53:49.006 [RMI TCP Connection(1)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-02 00:53:49.010 [RMI TCP Connection(1)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-12-02 00:53:49.021 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Starting...
2023-12-02 00:53:49.196 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Start completed.
